loc,lat,long,color,size,mark
Depot1,45.108,-72.616,blue,20,1
Depot2,45.497,-73.486,blue,20,1
IL1,45.285,-72.973,green,15,2
C1,45.208,-72.715,green,7,0
C2,45.209,-72.765,green,7,0
C3,45.251,-74.13,green,7,0
C4,45.333,-73.27,green,7,0
C5,45.346,-73.766,green,7,0
C6,45.41,-72.722,green,7,0
C7,45.478,-73.465,green,7,0
C8,45.492,-73.403,green,7,0
C9,45.499,-73.487,green,7,0
C10,45.527,-73.483,green,7,0
C11,45.538,-73.457,green,7,0
C12,45.538,-73.458,green,7,0
C13,45.593,-73.337,green,7,0
C14,45.603,-73.452,green,7,0
C15,45.634,-72.961,green,7,0
C16,45.68,-73.438,green,7,0
C17,45.773,-73.352,green,7,0
C18,45.854,-73.243,green,7,0
